time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw
2265768,STABILIZE,0,0,263,40,118,-26,1,33,76
2266293,STABILIZE,0,0,340,40,119,-25,1,33,76
2266768,STABILIZE,0,0,340,40,120,-25,1,33,76
2267293,STABILIZE,0,0,507,39,120,-23,1,33,76
2267768,STABILIZE,0,0,323,40,121,-23,1,33,76
2268293,STABILIZE,0,0,323,40,120,-24,1,33,76
2268768,STABILIZE,0,0,296,37,118,-24,1,33,76
2269293,STABILIZE,0,0,145,34,115,-20,1,33,77
2269768,STABILIZE,0,0,109,33,113,-20,1,33,77
2270293,STABILIZE,0,0,148,32,112,-19,1,33,77
2270768,STABILIZE,0,0,356,31,112,-19,1,33,77
2271293,STABILIZE,0,0,351,32,112,-19,1,33,77
2271768,STABILIZE,0,0,320,31,113,-21,1,33,77
2272293,STABILIZE,0,0,276,32,114,-20,1,33,77
2272768,STABILIZE,0,0,287,32,114,-23,1,33,77
2273293,STABILIZE,0,0,153,33,116,-23,1,33,78
2273768,STABILIZE,0,0,309,32,115,-22,1,33,78
2274293,STABILIZE,0,0,257,32,117,-23,1,33,78
2274769,STABILIZE,0,0,274,33,116,-23,1,33,78
2275293,STABILIZE,0,0,159,33,117,-22,1,33,78
2275769,STABILIZE,0,0,323,35,118,-22,1,33,78
2276294,STABILIZE,0,0,227,33,118,-23,1,33,78
2276769,STABILIZE,0,0,164,32,117,-20,1,33,78
2277293,STABILIZE,0,0,191,31,116,-19,1,33,78
2277769,STABILIZE,0,0,219,32,118,-20,1,33,79
2278294,STABILIZE,0,0,219,31,120,-19,2,33,79
2278769,STABILIZE,0,0,202,28,119,-19,2,33,79
2279294,STABILIZE,0,0,290,28,120,-19,1,33,79
2279769,STABILIZE,0,0,331,28,120,-19,1,33,79
2280293,STABILIZE,0,0,493,29,122,-18,1,33,79
2280769,STABILIZE,0,0,307,28,122,-19,1,33,79
2281293,STABILIZE,0,0,337,29,122,-19,1,33,79
2281769,STABILIZE,0,0,282,28,121,-19,2,33,79
2282294,STABILIZE,0,0,323,27,120,-19,2,33,79
2282769,STABILIZE,0,0,337,26,120,-18,1,33,79
2283293,STABILIZE,0,0,315,27,120,-18,1,33,79
2283768,STABILIZE,0,0,318,27,119,-17,1,33,80
2284294,STABILIZE,0,0,227,27,119,-16,1,33,80
2284769,STABILIZE,0,0,276,27,116,-15,1,33,80
2285294,STABILIZE,0,0,244,27,116,-15,2,33,80
2285769,STABILIZE,0,0,383,26,117,-16,2,33,80
2286294,STABILIZE,0,0,244,25,117,-16,2,33,80
2286769,STABILIZE,0,0,353,24,117,-14,2,33,80
2287294,STABILIZE,0,0,183,23,117,-13,2,33,80
2287769,STABILIZE,0,0,304,22,118,-15,2,33,80
2288294,STABILIZE,0,0,268,21,117,-14,2,33,80
2288769,STABILIZE,0,0,183,19,118,-15,2,33,80
2289294,STABILIZE,0,0,257,20,118,-16,2,33,81
2289769,STABILIZE,0,0,293,20,118,-16,2,33,81
2290294,STABILIZE,0,0,282,21,119,-15,2,33,81
2290769,STABILIZE,0,0,101,22,119,-15,2,33,81
2291294,STABILIZE,0,0,150,23,119,-14,2,33,81
2291769,STABILIZE,0,0,202,24,121,-14,1,33,81
2292294,STABILIZE,0,0,263,25,121,-13,2,33,81
2292769,STABILIZE,0,0,326,25,122,-12,2,33,81
2293294,STABILIZE,0,0,219,25,124,-12,2,33,81
2293769,STABILIZE,0,0,304,25,124,-10,2,33,81
2294294,STABILIZE,0,0,148,25,125,-10,2,33,81
2294769,STABILIZE,0,0,183,24,124,-10,2,33,81
2295294,STABILIZE,0,0,180,23,124,-10,2,33,81
2295769,STABILIZE,0,0,219,22,124,-10,2,33,81
2296294,STABILIZE,0,0,104,20,122,-10,2,33,81
2296769,STABILIZE,0,0,65,20,122,-7,2,33,81
2297294,STABILIZE,0,0,104,19,123,-6,2,33,81
