time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw,dlat,dlon,dalt,dvx,dvy,dyr
1952751,4,229956166,1202235117,80,0,0,4,-1,1,255,229955690,1202230987,61,0,0,0
1953760,4,229956166,1202235116,81,-1,0,4,-1,1,255,229955690,1202230987,61,0,0,0
1954767,4,229956166,1202235115,52,-1,1,4,-1,1,255,229955690,1202230987,61,0,0,0
1955839,4,229956166,1202235115,11,-1,1,5,-1,1,255,229955690,1202230987,61,0,0,0
1956840,4,229956164,1202235111,-51,-1,0,6,-1,1,255,229955690,1202230987,61,0,0,0
1958271,4,229956161,1202235101,-68,-2,-4,6,-1,1,255,229955690,1202230987,61,0,0,0
1959271,4,229956155,1202235092,-42,-3,-3,4,-1,1,255,229955690,1202230987,61,0,0,0
1960751,4,229956149,1202235087,-61,-4,-3,4,-1,1,255,229955690,1202230987,61,0,0,0
1961775,4,229956145,1202235080,-73,-4,-3,5,-1,1,255,229955690,1202230987,61,0,0,0
1962975,4,229956144,1202235073,-107,-2,-2,5,-1,1,255,229955690,1202230987,61,0,0,0
1964271,4,229956141,1202235069,-148,-1,-2,6,-1,1,255,229955690,1202230987,61,0,0,0
1965775,4,229956138,1202235066,-181,0,0,6,-1,1,255,229955690,1202230987,61,0,0,0
1966775,4,229956134,1202235059,-177,-1,0,6,-1,1,255,229955690,1202230987,61,0,0,0
1968335,4,229956132,1202235057,-223,0,0,6,-1,1,255,229955690,1202230987,61,0,0,0
1969335,4,229956130,1202235054,-298,0,0,7,-1,1,255,229955690,1202230987,61,0,0,0
1970816,4,229956130,1202235054,-361,0,0,9,-1,1,255,229955690,1202230987,61,0,0,0
1971839,4,229956126,1202235050,-410,0,0,9,-1,1,255,229955690,1202230987,61,0,0,0
1973120,4,229956123,1202235048,-424,0,0,9,-1,1,255,229955690,1202230987,61,0,0,0
1974319,4,229956121,1202235049,-424,0,0,8,-1,1,255,229955690,1202230987,61,0,0,0
1975775,4,229956116,1202235053,-403,0,1,7,-1,1,255,229955690,1202230987,61,0,0,0
1976776,4,229956110,1202235055,-386,-1,1,7,-1,1,255,229955690,1202230987,61,0,0,0
1977776,4,229956106,1202235055,-373,-1,1,6,-1,1,255,229955690,1202230987,61,0,0,0
1979248,4,229956104,1202235055,-366,0,1,6,-1,1,255,229955690,1202230987,61,0,0,0
1980767,4,229956098,1202235056,-347,0,0,5,-1,1,255,229955690,1202230987,61,0,0,0
1981767,4,229956091,1202235053,-287,-1,0,4,-1,1,255,229955690,1202230987,61,0,0,0
1983039,4,229956087,1202235054,-275,-1,-1,4,-1,1,255,229955690,1202230987,61,0,0,0
1984319,4,229956082,1202235054,-267,-3,0,5,-1,1,255,229955690,1202230987,61,0,0,0
1985423,4,229956082,1202235051,-246,0,-2,5,-1,1,255,229955690,1202230987,61,0,0,0
1986767,4,229956081,1202235053,-211,0,-1,4,-1,1,255,229955690,1202230987,61,0,0,0
1987768,4,229956078,1202235056,-176,-1,0,4,-1,1,255,229955690,1202230987,61,0,0,0
1988848,4,229956077,1202235056,-173,-1,0,4,-1,1,255,229955690,1202230987,61,0,0,0
1990239,4,229956074,1202235057,-182,0,-1,5,-1,1,255,229955690,1202230987,61,0,0,0
1991263,4,229956073,1202235056,-185,0,-2,5,-1,1,255,229955690,1202230987,61,0,0,0
1992304,4,229956072,1202235057,-196,0,-1,6,-1,1,255,229955690,1202230987,61,0,0,0
1993312,4,229956070,1202235061,-213,0,0,7,-1,1,255,229955690,1202230987,61,0,0,0
1994336,4,229956067,1202235063,-232,0,0,8,-1,1,255,229955690,1202230987,61,0,0,0
1995824,4,229956068,1202235064,-232,2,0,7,-1,1,255,229955690,1202230987,61,0,0,0
1996832,4,229956068,1202235064,-190,1,0,6,-1,1,255,229955690,1202230987,61,0,0,0
1998304,4,229956064,1202235067,-200,-1,1,6,-1,1,255,229955690,1202230987,61,0,0,0
1999328,4,229956065,1202235068,-256,0,0,7,-1,1,255,229955690,1202230987,61,0,0,0
2000576,4,229956066,1202235063,-357,0,-1,9,-1,1,255,229955690,1202230987,61,0,0,0
2001776,4,229956069,1202235065,-402,0,0,9,-1,1,255,229955690,1202230987,61,0,0,0
2002816,4,229956071,1202235065,-402,0,0,9,-1,1,255,229955690,1202230987,61,0,0,0
2003839,4,229956073,1202235065,-372,0,0,8,-1,1,255,229955690,1202230987,61,0,0,0
2004912,4,229956076,1202235068,-362,0,0,8,-1,1,255,229955690,1202230987,61,0,0,0
2006238,4,229956078,1202235068,-349,0,0,7,-1,1,255,229955690,1202230987,61,0,0,0
2007327,4,229956080,1202235068,-328,0,0,7,-1,1,255,229955690,1202230987,61,0,0,0
2008768,4,229956082,1202235066,-292,0,0,6,-1,1,255,229955690,1202230987,61,0,0,0
2010255,4,229956085,1202235058,-257,0,-3,6,-1,1,255,229955690,1202230987,61,0,0,0
2011775,4,229956083,1202235055,-252,-2,-2,6,-1,1,255,229955690,1202230987,61,0,0,0
2013054,4,229956083,1202235050,-172,-2,-2,5,-1,1,255,229955690,1202230987,61,0,0,0
2014318,4,229956085,1202235052,-144,0,0,4,-1,1,255,229955690,1202230987,61,0,0,0
2015775,4,229956089,1202235055,-195,0,1,6,-1,1,255,229955690,1202230987,61,0,0,0
2016782,4,229956089,1202235053,-204,0,0,6,-1,1,255,229955690,1202230987,61,0,0,0
2017783,4,229956089,1202235047,-205,-1,-2,6,-1,1,255,229955690,1202230987,61,0,0,0
2076257,0,229956176,1202235011,-10,-2,-1,4,-1,1,255,229955690,1202230987,61,0,0,0
2077265,0,229956170,1202235009,-28,-2,-1,4,-1,1,255,229955690,1202230987,61,0,0,0
2078817,0,229956161,1202235007,-53,-2,0,4,-1,1,255,229955690,1202230987,61,0,0,0
2079841,0,229956153,1202235005,9,-2,0,3,-1,1,255,229955690,1202230987,61,0,0,0
2081329,0,229956146,1202235002,38,-2,-2,2,-1,1,255,229955690,1202230987,61,0,0,0
2082752,0,229956137,1202235003,47,-2,0,2,-1,1,255,229955690,1202230987,61,0,0,0
2083762,0,229956129,1202235002,21,-2,0,3,-1,1,255,229955690,1202230987,61,0,0,0
2084769,0,229956121,1202235003,-26,-2,0,4,-1,1,255,229955690,1202230987,61,0,0,0
2085769,0,229956110,1202235003,-63,-2,0,5,-1,1,255,229955690,1202230987,61,0,0,0
2086833,0,229956107,1202235000,-69,-2,-1,6,-1,1,255,229955690,1202230987,61,0,0,0
2087834,0,229956098,1202234992,-65,0,-2,5,-1,1,255,229955690,1202230987,61,0,0,0
2088834,0,229956088,1202234987,-80,-1,-2,7,-1,1,255,229955690,1202230987,61,0,0,0
2089840,0,229956073,1202234972,-109,-2,-4,6,-1,1,255,229955690,1202230987,61,0,0,0
2090865,0,229956057,1202234961,-133,-3,-4,8,-1,1,255,229955690,1202230987,61,0,0,0
2092321,0,229956041,1202234953,-164,-4,-2,7,-1,1,255,229955690,1202230987,61,0,0,0
2093330,0,229956032,1202234941,-176,-2,-2,7,-1,1,255,229955690,1202230987,61,0,0,0
2094330,0,229956023,1202234922,-124,0,-3,6,-1,1,255,229955690,1202230987,61,0,0,0
2095330,0,229956016,1202234913,-104,0,-2,5,-1,1,255,229955690,1202230987,61,0,0,0
2096833,0,229956013,1202234906,-101,1,-1,5,-1,1,255,229955690,1202230987,61,0,0,0
2097841,0,229956007,1202234894,-105,1,-2,5,-1,1,255,229955690,1202230987,61,0,0,0
2099313,0,229956005,1202234888,-103,1,-2,6,-1,1,255,229955690,1202230987,61,0,0,0
2100496,0,229956000,1202234883,-96,1,-1,5,-1,1,255,229955690,1202230987,61,0,0,0
2101761,0,229955998,1202234881,-77,0,0,5,-1,1,255,229955690,1202230987,61,0,0,0
2102769,0,229955996,1202234877,-42,0,-1,5,-1,1,255,229955690,1202230987,61,0,0,0
2103778,0,229955996,1202234876,-17,1,0,5,-1,1,255,229955690,1202230987,61,0,0,0
2104834,0,229955996,1202234875,-1,1,1,4,-1,1,255,229955690,1202230987,61,0,0,0
2105842,0,229955994,1202234869,0,1,0,4,-1,1,255,229955690,1202230987,61,0,0,0
2107329,0,229955992,1202234867,-8,0,0,5,-1,1,255,229955690,1202230987,61,0,0,0
2108769,0,229955990,1202234861,-20,0,0,5,-1,1,255,229955690,1202230987,61,0,0,0
2109777,0,229955990,1202234857,-21,0,0,5,-1,1,255,229955690,1202230987,61,0,0,0
2111265,0,229955991,1202234851,-54,0,-1,6,-1,1,255,229955690,1202230987,61,0,0,0
2112834,0,229955991,1202234848,-102,0,-1,7,-1,1,255,229955690,1202230987,61,0,0,0
2113842,0,229955993,1202234846,-149,0,-1,7,-1,1,255,229955690,1202230987,61,0,0,0
2114849,0,229955994,1202234846,-181,0,-1,7,-1,1,255,229955690,1202230987,61,0,0,0
2116306,0,229955996,1202234848,-195,0,0,6,-1,1,255,229955690,1202230987,61,0,0,0
2117329,0,229955998,1202234852,-188,0,0,5,-1,1,255,229955690,1202230987,61,0,0,0
2118338,0,229955998,1202234860,-151,0,2,5,-1,1,255,229955690,1202230987,61,0,0,0
2119824,0,229955999,1202234864,-151,-1,2,5,-1,1,255,229955690,1202230987,61,0,0,0
2120833,0,229956002,1202234867,-234,0,1,6,-1,1,255,229955690,1202230987,61,0,0,0
2122322,0,229956004,1202234871,-268,0,1,7,-1,1,255,229955690,1202230987,61,0,0,0
2123761,0,229956007,1202234877,-238,0,0,6,-1,1,255,229955690,1202230987,61,0,0,0
2124786,0,229956011,1202234879,-216,1,0,5,-1,1,255,229955690,1202230987,61,0,0,0
2126259,0,229956011,1202234880,-199,0,-1,5,-1,1,256,229955690,1202230987,61,0,0,0
2127266,0,229956014,1202234882,-165,0,0,4,-1,1,256,229955690,1202230987,61,0,0,0
2128266,0,229956016,1202234880,-142,0,-3,3,-1,1,256,229955690,1202230987,61,0,0,0
2129329,0,229956017,1202234881,-133,0,-2,4,-1,1,256,229955690,1202230987,61,0,0,0
2130329,0,229956020,1202234883,-128,1,-1,4,-1,1,256,229955690,1202230987,61,0,0,0
2131840,0,229956019,1202234882,-124,0,-2,4,-1,1,256,229955690,1202230987,61,0,0,0
